Step,Create Contribution On-Chain,Create Contribution Off-Chain,Assign Contribution On-Chain,Assign Contribution Off-Chain,Update Coordinates On-Chain,Update Coordinates Off-Chain,Review Contribution On-Chain,Review Contribution Off-Chain,ZKP Contracts On-Chain,ZKP Contracts Off-Chain,Total Time
352,16,0,44,0,19,179,50,127,121,3748,4311
353,16,0,22,0,18,132,29,128,112,3076,3536
354,15,0,19,0,15,124,24,115,101,3197,3614
355,12,0,19,0,17,174,23,120,101,3113,3581
356,17,0,17,0,17,129,24,112,118,3214,3653
357,15,0,19,0,15,127,25,123,79,3753,4159
358,15,0,17,0,17,127,25,114,109,3111,3538
359,15,0,19,0,16,128,27,126,99,3362,3796
360,16,0,19,0,20,126,24,118,101,3193,3622
361,15,1,20,0,19,131,22,117,96,3162,3585
362,13,0,17,0,20,133,22,169,129,3226,3733
363,13,0,17,0,15,128,33,121,96,3143,3575
364,14,0,19,0,18,134,21,117,93,3348,3769
365,15,0,18,0,15,131,22,120,116,3205,3648
366,13,0,20,0,17,128,22,125,100,3182,3612
367,13,0,18,0,15,163,25,120,205,3161,3722
368,16,0,19,0,14,131,29,146,92,3122,3576
369,14,0,18,0,16,130,25,117,114,3205,3642
370,14,0,19,0,15,133,25,120,106,3132,3569
371,17,0,23,0,15,140,24,121,99,3136,3579
372,14,0,18,0,15,130,22,149,97,3144,3591
373,13,0,17,0,17,134,20,124,141,3420,3890
374,21,0,19,0,14,136,27,124,102,3392,3843
375,13,1,20,0,16,140,33,124,94,3476,3923
376,14,0,20,0,14,138,27,133,95,3257,3702
377,15,0,17,0,14,135,24,126,100,3166,3599
378,15,0,17,0,14,139,21,120,93,3511,3934
379,15,1,20,0,14,136,26,121,94,3193,3627
380,16,0,20,0,15,133,25,125,116,3230,3686
381,16,0,28,0,13,160,24,120,92,3220,3675
382,13,0,19,0,12,137,31,160,97,3128,3600
383,14,0,18,0,15,138,24,121,88,3206,3632
384,13,0,17,0,15,150,25,122,92,3130,3565
385,18,0,22,0,13,141,22,122,117,3134,3595
386,13,0,17,0,15,134,25,145,117,3144,3614
387,15,0,17,0,13,141,23,123,83,3192,3610
388,13,0,18,0,13,144,21,126,109,3088,3535
389,15,0,31,0,14,143,20,126,111,3132,3594
390,13,0,16,0,13,141,26,158,109,3133,3615
391,14,0,18,0,13,139,24,127,99,3151,3590
392,13,0,17,0,15,142,20,121,99,3115,3544
393,15,0,17,0,16,170,22,123,103,3371,3841
394,13,0,18,0,19,314,26,128,88,3217,3828
395,13,0,19,0,15,167,23,124,115,3263,3743
396,14,0,19,0,16,145,24,127,94,3145,3588
397,17,0,18,0,15,141,22,126,102,3207,3655
398,16,1,20,0,16,142,26,141,90,3336,3796
399,14,0,18,0,12,146,28,126,109,3414,3871
400,13,0,21,0,15,147,23,127,88,3167,3603
401,17,0,18,0,14,143,22,124,86,3194,3620
402,15,0,18,0,16,170,24,131,115,3091,3583
403,14,0,19,0,13,142,24,128,121,3148,3615
404,15,0,18,0,13,149,22,129,139,3736,4223
405,20,0,19,0,37,299,33,253,108,3808,4585
406,15,0,19,0,15,149,22,125,95,3460,3903
407,14,0,18,0,14,144,23,128,93,3168,3605
408,14,0,18,0,14,148,23,129,86,3314,3753
409,14,0,20,0,17,148,22,129,96,3469,3919
410,15,0,19,0,15,149,21,130,82,3254,3692
411,13,0,18,0,17,153,23,128,104,4621,5082
412,13,0,20,0,15,148,22,132,105,3359,3817
413,14,1,18,0,16,146,24,132,130,3177,3661
414,15,0,18,0,15,149,22,129,115,3304,3772
415,13,0,20,0,17,149,23,129,100,3184,3636
416,16,0,23,0,13,155,24,133,109,3432,3915
